,name,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,total_epa,completions per game,attempts per game,passing_yards per game,passing_tds per game,interceptions per game,sacks per game,sack_yards per game,sack_fumbles per game,sack_fumbles_lost per game,passing_air_yards per game,passing_yards_after_catch per game,passing_first_downs per game,passing_epa per game,passing_2pt_conversions per game,pacr per game,dakota per game,carries per game,rushing_yards per game,rushing_tds per game,rushing_fumbles per game,rushing_fumbles_lost per game,rushing_first_downs per game,rushing_epa per game,rushing_2pt_conversions per game,receptions per game,targets per game,receiving_yards per game,receiving_tds per game,receiving_fumbles per game,receiving_fumbles_lost per game,receiving_air_yards per game,receiving_yards_after_catch per game,receiving_first_downs per game,receiving_epa per game,receiving_2pt_conversions per game,racr per game,air_yards_share per game,wopr_x per game,special_teams_tds per game,fantasy_points per game,fantasy_points_ppr per game,tgt_sh per game,wopr_y per game,dom per game,w8dom per game,yptmpa per game,total_epa per game
0,Danny Amendola,0,1,0.0,0,0.0,0.0,0.0,0,0,14.0,0.0,0.0,-0.3616975506884046,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,24,38,248.0,3,1.0,0.0,321.0,105.0,10.0,-0.11861581991929171,1,6.979436273690746,1.1841794503610772,1.169489012442154,2.5949114842511234,0.0,44.8,68.8,8,0.14615384615384616,0.1558252427184466,0.13444302176696543,0.3438909634055265,0.14019219898247598,0.2727272727272727,0.13157894736842105,0.14942528735632185,0.20645973585487434,0.16669921373143534,0.9538461538461539,0.111496450912391,-0.3616975506884046,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,-0.045212193836050574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.75,31.0,0.375,0.125,0.0,40.125,13.125,1.25,-0.014826977489911464,0.125,0.8724295342113433,0.14618612655526925,0.3243639355313904,0.0,5.6,8.6,0.01826923076923077,0.04298637042569081,0.025807466981859293,0.020837401716429418,0.11923076923076924,-0.045212193836050574
1,DeSean Jackson,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,4.0,0,0.0,0.0,0.0,0.003352722618728876,0,20,34,454.0,2,1.0,1.0,647.0,175.0,12.0,11.046789813728537,0,10.298019522198787,1.0111582805675803,2.1339702964201113,3.010516628345448,0.0,55.800000000000004,75.80000000000001,14,0.06910569105691057,0.15317234848484848,0.09531590413943355,0.22619641537324464,0.11502406891309856,0.08,0.06382978723404255,0.06572769953051644,0.09751203445654928,0.10801925513047886,0.9227642276422764,0.058574431256182,0.003352722618728876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.2857142857142857,0.0,0.0,0.0,0.0,0.0002394801870520626,0.0,1.4285714285714286,2.4285714285714284,32.42857142857143,0.14285714285714285,0.07142857142857142,0.07142857142857142,46.214285714285715,12.5,0.8571428571428571,0.7890564152663241,0.0,0.7355728230141991,0.15242644974429367,0.21503690202467488,0.0,3.985714285714286,5.4142857142857155,0.004936120789779327,0.016156886812374618,0.006965145318324949,0.00771566108074849,0.06591173054587689,0.0002394801870520626
2,Emmanuel Sanders,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,31.0,0,0.0,0.0,2.0,2.025341064610984,0,42,72,626.0,4,0.0,0.0,1077.0,85.0,31.0,25.777480036758913,0,10.59797690838941,1.9957457676766774,3.4014869204364953,5.374659495820563,0.0,89.7,131.7,14,0.13114754098360656,0.24466151749204906,0.05523066926575698,0.3924505254690491,0.1619244697361614,0.12903225806451613,0.15422885572139303,0.15086206896551724,0.14547836390033875,0.15534602740183237,1.1402550091074681,0.091716924105464,2.025341064610984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,2.2142857142857144,0.0,0.0,0.0,0.14285714285714285,0.14466721890078457,0.0,3.0,5.142857142857143,44.714285714285715,0.2857142857142857,0.0,0.0,76.92857142857143,6.071428571428571,2.2142857142857144,1.8412485740542082,0.0,0.7569983505992436,0.24296335145974965,0.38390424970146875,0.0,6.4071428571428575,9.407142857142857,0.00936768149882904,0.028032180390646366,0.010391311707167053,0.011096144814416597,0.08144678636481915,0.14466721890078457
3,Andre Roberts,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,19.0,0,0.0,0.0,0.0,0.760434927069582,0,1,2,35.0,0,0.0,0.0,29.0,16.0,1.0,-0.8368861800990999,0,1.206896551724138,0.07142857142857142,0.11553784860557768,0.1880193511667615,1.0,11.4,12.4,5,0.011235955056179775,0.023500810372771474,0.021220159151193633,0.03565458088248684,0.024339360222531293,0.0,0.013888888888888888,0.012048192771084338,0.012169680111265646,0.019471488178025034,0.19662921348314608,0.02288160614112784,0.760434927069582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.8,0.0,0.0,0.0,0.0,0.1520869854139164,0.0,0.2,0.4,7.0,0.0,0.0,0.0,5.8,3.2,0.2,-0.16737723601981996,0.0,0.24137931034482757,0.023107569721115537,0.0376038702333523,0.2,2.2800000000000002,2.48,0.002247191011235955,0.007130916176497368,0.0024339360222531293,0.0038942976356050067,0.03932584269662921,0.1520869854139164
4,Antonio Brown,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,6.0,0,0.0,0.0,0.0,0.308483928674832,0,42,62,545.0,4,0.0,0.0,734.0,190.0,29.0,33.95373083089263,0,5.257426073877827,1.6163659903950889,2.13600970526062,3.9197557792750675,0.0,79.10000000000001,121.10000000000001,7,0.20945945945945946,0.2655571635311143,0.18269230769230768,0.5266349200140806,0.23542116630669546,0.2,0.23387096774193547,0.22916666666666666,0.21771058315334774,0.22833693304535638,1.8412162162162162,0.14860719106638853,0.308483928674832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0,0.04406913266783314,0.0,6.0,8.857142857142858,77.85714285714286,0.5714285714285714,0.0,0.0,104.85714285714286,27.142857142857142,4.142857142857143,4.850532975841804,0.0,0.7510608676968324,0.30514424360866005,0.5599651113250096,0.0,11.3,17.3,0.029922779922779922,0.07523356000201152,0.031101511879049675,0.03261956186362234,0.26303088803088803,0.04406913266783314
5,A.J. Green,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,54,92,848.0,3,0.0,0.0,1109.0,181.0,37.0,29.420385656513346,0,12.32139607765746,2.637033525216123,4.302691044699089,6.967434019113547,0.0,102.80000000000001,156.8,16,0.16312056737588654,0.25832750989983694,0.08676893576222436,0.45134285898369936,0.1955268618860964,0.11538461538461539,0.18226600985221675,0.17467248908296942,0.1554557386353559,0.1794984125858002,1.50354609929078,0.10170063173734256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.375,5.75,53.0,0.1875,0.0,0.0,69.3125,11.3125,2.3125,1.8387741035320841,0.0,0.7700872548535912,0.26891819029369307,0.4354646261945967,0.0,6.425000000000001,9.8,0.010195035460992909,0.02820892868648121,0.009715983664709743,0.011218650786612513,0.09397163120567376,0.0
6,Julio Jones,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,31,48,434.0,1,0.0,0.0,579.0,112.0,19.0,15.380997685733824,0,9.54805154552669,1.573468660968661,2.4068775343204414,4.0450172654773,0.0,49.400000000000006,80.4,10,0.15384615384615385,0.24399494310998734,0.11336032388663968,0.42596518525722066,0.19409660107334525,0.08333333333333333,0.16521739130434782,0.15748031496062992,0.13871496720333928,0.17194394752534287,1.391025641025641,0.09544839376023934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,4.8,43.4,0.1,0.0,0.0,57.9,11.2,1.9,1.5380997685733824,0.0,0.954805154552669,0.24068775343204413,0.40450172654773003,0.0,4.94,8.040000000000001,0.015384615384615385,0.04259651852572206,0.013871496720333928,0.017194394752534287,0.1391025641025641,0.0
7,Randall Cobb,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1.0,0,0.0,0.0,0.0,-0.46127630572300404,0,28,39,375.0,5,0.0,0.0,307.0,138.0,21.0,21.414158601906966,0,13.942394888086737,1.1400074717081359,1.0916694930670092,2.47417985270911,0.0,67.6,95.6,11,0.09974424552429667,0.0963288358958268,0.08801020408163265,0.22667943700310644,0.12750765045902754,0.22727272727272727,0.14583333333333334,0.1566265060240964,0.1773901888658774,0.14746066582176748,0.959079283887468,0.09332838705898433,-0.46127630572300404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,-0.04193420961118219,0.0,2.5454545454545454,3.5454545454545454,34.09090909090909,0.45454545454545453,0.0,0.0,27.90909090909091,12.545454545454545,1.9090909090909092,1.9467416910824513,0.0,1.2674904443715216,0.09924268118790992,0.22492544115537363,0.0,6.145454545454545,8.69090909090909,0.00906765868402697,0.02060722154573695,0.016126380805988855,0.013405515074706135,0.08718902580795164,-0.04193420961118219
8,Chris Hogan,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,4,8,41.0,1,0.0,0.0,49.0,13.0,2.0,0.032242007087916136,0,10.363636363636363,0.35549450549450545,0.23896249216163978,0.7005155027549061,0.0,10.1,14.1,5,0.06666666666666667,0.0457089552238806,0.03258145363408521,0.13656716417910447,0.04535398230088496,0.08333333333333333,0.043478260869565216,0.05172413793103448,0.06434365781710914,0.052949852507374634,0.3416666666666667,0.03503453759379814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,8.2,0.2,0.0,0.0,9.8,2.6,0.4,0.006448401417583227,0.0,2.0727272727272728,0.047792498432327954,0.14010310055098124,0.0,2.02,2.82,0.013333333333333332,0.027313432835820894,0.012868731563421828,0.010589970501474926,0.06833333333333333,0.0
9,Cole Beasley,0,1,0.0,0,0.0,0.0,0.0,0,0,19.0,0.0,0.0,-0.47759081999538466,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,82,112,693.0,1,1.0,0.0,630.0,305.0,34.0,5.137129305082187,1,28.944481890557235,2.9472603204445234,2.073978501991205,5.872675432060628,0.0,77.3,159.3,16,0.18421052631578946,0.12490087232355274,0.1901496259351621,0.37623648733252635,0.1675531914893617,0.030303030303030304,0.1574074074074074,0.14056224899598393,0.098928110896196,0.14010315925209543,1.1398026315789473,0.1004958552556872,-0.47759081999538466,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1875,0.0,0.0,-0.02984942624971154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.125,7.0,43.3125,0.0625,0.0625,0.0,39.375,19.0625,2.125,0.3210705815676367,0.0625,1.8090301181598272,0.1296236563744503,0.36704221450378927,0.0,4.83125,9.95625,0.011513157894736841,0.023514780458282897,0.00618300693101225,0.008756447453255965,0.07123766447368421,-0.02984942624971154
